[10-Mar-2014 10:05:23] PHP Parse error:  syntax error, unexpected $end in /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/app/storage/views/aae9804413cf765607c16f90505207ff on line 20
[10-Mar-2014 10:27:25] PHP   8. Illuminate\Foundation\Application->handle() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Http/FrameGuard.php:38
[10-Mar-2014 10:27:25] PHP   9. Illuminate\Foundation\Application->dispatch() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:652
[10-Mar-2014 10:27:25] PHP  10. Illuminate\Routing\Router->dispatch() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:677
[10-Mar-2014 10:27:25] PHP  11. Illuminate\Routing\Router->dispatchToRoute() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/Router.php:938
[10-Mar-2014 10:27:25] PHP  12. Illuminate\Routing\Route->run() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/Router.php:968
[10-Mar-2014 10:27:25] PHP  13. call_user_func_array() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/Route.php:105
[10-Mar-2014 10:27:25] PHP  14. Illuminate\Routing\{closure}() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/Route.php:105
[10-Mar-2014 10:27:25] PHP  15. Illuminate\Routing\ControllerDispatcher->dispatch() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/Router.php:904
[10-Mar-2014 10:27:25] PHP  16. Illuminate\Routing\ControllerDispatcher->makeController() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:50
[10-Mar-2014 10:27:25] PHP  17. Illuminate\Foundation\Application->make() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:77
[10-Mar-2014 10:27:25] PHP  18. Illuminate\Container\Container->make() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:423
[10-Mar-2014 10:27:25] PHP  19. Illuminate\Container\Container->build() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Container/Container.php:416
[10-Mar-2014 10:27:25] PHP  20. ReflectionClass->__construct() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Container/Container.php:476
[10-Mar-2014 10:27:25] PHP  21. Composer\Autoload\ClassLoader->loadClass() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Container/Container.php:0
[10-Mar-2014 10:36:20] PHP Parse error:  syntax error, unexpected T_RETURN in /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/app/controllers/PaymentsController.php on line 212
[10-Mar-2014 10:36:20] PHP Stack trace:
[10-Mar-2014 10:36:20] PHP   1. {main}() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/public/index.php:0
[10-Mar-2014 10:36:20] PHP   2. Illuminate\Foundation\Application->run() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/public/index.php:49
[10-Mar-2014 10:36:20] PHP   3. Stack\StackedHttpKernel->handle() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:552
[10-Mar-2014 10:36:20] PHP   4. Illuminate\Cookie\Guard->handle() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/stack/builder/src/Stack/StackedHttpKernel.php:23
[10-Mar-2014 10:36:20] PHP   5. Illuminate\Cookie\Queue->handle() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Cookie/Guard.php:51
[10-Mar-2014 10:36:20] PHP   6. Illuminate\Session\Middleware->handle() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Cookie/Queue.php:47
[10-Mar-2014 10:36:20] PHP   7. Illuminate\Http\FrameGuard->handle() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Session/Middleware.php:58
[10-Mar-2014 10:36:20] PHP   8. Illuminate\Foundation\Application->handle() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Http/FrameGuard.php:38
[10-Mar-2014 10:36:20] PHP   9. Illuminate\Foundation\Application->dispatch() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:652
[10-Mar-2014 10:36:20] PHP  10. Illuminate\Routing\Router->dispatch() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:677
[10-Mar-2014 10:36:20] PHP  11. Illuminate\Routing\Router->dispatchToRoute() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/Router.php:938
[10-Mar-2014 10:36:20] PHP  12. Illuminate\Routing\Route->run() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/Router.php:968
[10-Mar-2014 10:36:20] PHP  13. call_user_func_array() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/Route.php:105
[10-Mar-2014 10:36:20] PHP  14. Illuminate\Routing\{closure}() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/Route.php:105
[10-Mar-2014 10:36:20] PHP  15. Illuminate\Routing\ControllerDispatcher->dispatch() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/Router.php:904
[10-Mar-2014 10:36:20] PHP  16. Illuminate\Routing\ControllerDispatcher->makeController() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:50
[10-Mar-2014 10:36:20] PHP  17. Illuminate\Foundation\Application->make() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:77
[10-Mar-2014 10:36:20] PHP  18. Illuminate\Container\Container->make() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:423
[10-Mar-2014 10:36:20] PHP  19. Illuminate\Container\Container->build() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Container/Container.php:416
[10-Mar-2014 10:36:20] PHP  20. ReflectionClass->__construct() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Container/Container.php:476
[10-Mar-2014 10:36:20] PHP  21. Composer\Autoload\ClassLoader->loadClass() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Container/Container.php:0
[10-Mar-2014 10:48:16] PHP Parse error:  syntax error, unexpected T_OBJECT_OPERATOR in /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/app/controllers/PaymentsController.php on line 191
[10-Mar-2014 10:48:16] PHP Stack trace:
[10-Mar-2014 10:48:16] PHP   1. {main}() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/public/index.php:0
[10-Mar-2014 10:48:16] PHP   2. Illuminate\Foundation\Application->run() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/public/index.php:49
[10-Mar-2014 10:48:16] PHP   3. Stack\StackedHttpKernel->handle() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:552
[10-Mar-2014 10:48:16] PHP   4. Illuminate\Cookie\Guard->handle() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/stack/builder/src/Stack/StackedHttpKernel.php:23
[10-Mar-2014 10:48:16] PHP   5. Illuminate\Cookie\Queue->handle() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Cookie/Guard.php:51
[10-Mar-2014 10:48:16] PHP   6. Illuminate\Session\Middleware->handle() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Cookie/Queue.php:47
[10-Mar-2014 10:48:16] PHP   7. Illuminate\Http\FrameGuard->handle() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Session/Middleware.php:58
[10-Mar-2014 10:48:16] PHP   8. Illuminate\Foundation\Application->handle() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Http/FrameGuard.php:38
[10-Mar-2014 10:48:16] PHP   9. Illuminate\Foundation\Application->dispatch() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:652
[10-Mar-2014 10:48:16] PHP  10. Illuminate\Routing\Router->dispatch() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:677
[10-Mar-2014 10:48:16] PHP  11. Illuminate\Routing\Router->dispatchToRoute() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/Router.php:938
[10-Mar-2014 10:48:16] PHP  12. Illuminate\Routing\Route->run() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/Router.php:968
[10-Mar-2014 10:48:16] PHP  13. call_user_func_array() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/Route.php:105
[10-Mar-2014 10:48:16] PHP  14. Illuminate\Routing\{closure}() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/Route.php:105
[10-Mar-2014 10:48:16] PHP  15. Illuminate\Routing\ControllerDispatcher->dispatch() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/Router.php:904
[10-Mar-2014 10:48:16] PHP  16. Illuminate\Routing\ControllerDispatcher->makeController() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:50
[10-Mar-2014 10:48:16] PHP  17. Illuminate\Foundation\Application->make() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:77
[10-Mar-2014 10:48:16] PHP  18. Illuminate\Container\Container->make() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:423
[10-Mar-2014 10:48:16] PHP  19. Illuminate\Container\Container->build() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Container/Container.php:416
[10-Mar-2014 10:48:16] PHP  20. ReflectionClass->__construct() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Container/Container.php:476
[10-Mar-2014 10:48:16] PHP  21. Composer\Autoload\ClassLoader->loadClass() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Container/Container.php:0
[10-Mar-2014 11:04:42] PHP Fatal error:  Call to undefined method Illuminate\Database\Eloquent\Collection::payers() in /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/app/controllers/PaymentsController.php on line 193
[10-Mar-2014 11:04:42] PHP Stack trace:
[10-Mar-2014 11:04:42] PHP   1. {main}() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/public/index.php:0
[10-Mar-2014 11:04:42] PHP   2. Illuminate\Foundation\Application->run() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/public/index.php:49
[10-Mar-2014 11:04:42] PHP   3. Stack\StackedHttpKernel->handle() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:552
[10-Mar-2014 11:04:42] PHP   4. Illuminate\Cookie\Guard->handle() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/stack/builder/src/Stack/StackedHttpKernel.php:23
[10-Mar-2014 11:04:42] PHP   5. Illuminate\Cookie\Queue->handle() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Cookie/Guard.php:51
[10-Mar-2014 11:04:42] PHP   6. Illuminate\Session\Middleware->handle() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Cookie/Queue.php:47
[10-Mar-2014 11:04:42] PHP   7. Illuminate\Http\FrameGuard->handle() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Session/Middleware.php:58
[10-Mar-2014 11:04:42] PHP   8. Illuminate\Foundation\Application->handle() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Http/FrameGuard.php:38
[10-Mar-2014 11:04:42] PHP   9. Illuminate\Foundation\Application->dispatch() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:652
[10-Mar-2014 11:04:42] PHP  10. Illuminate\Routing\Router->dispatch() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:677
[10-Mar-2014 11:04:42] PHP  11. Illuminate\Routing\Router->dispatchToRoute() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/Router.php:938
[10-Mar-2014 11:04:42] PHP  12. Illuminate\Routing\Route->run() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/Router.php:968
[10-Mar-2014 11:04:42] PHP  13. call_user_func_array() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/Route.php:105
[10-Mar-2014 11:04:42] PHP  14. Illuminate\Routing\{closure}() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/Route.php:105
[10-Mar-2014 11:04:42] PHP  15. Illuminate\Routing\ControllerDispatcher->dispatch() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/Router.php:904
[10-Mar-2014 11:04:42] PHP  16. Illuminate\Routing\ControllerDispatcher->call() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:61
[10-Mar-2014 11:04:42] PHP  17. Illuminate\Routing\Controller->callAction() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:92
[10-Mar-2014 11:04:42] PHP  18. call_user_func_array() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:192
[10-Mar-2014 11:04:42] PHP  19. PaymentsController->statement() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:192
[10-Mar-2014 11:34:28] PHP Parse error:  syntax error, unexpected T_OBJECT_OPERATOR, expecting T_STRING or T_VARIABLE or '{' or '$' in /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/app/controllers/PaymentsController.php on line 189
[10-Mar-2014 11:34:28] PHP Stack trace:
[10-Mar-2014 11:34:28] PHP   1. {main}() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/public/index.php:0
[10-Mar-2014 11:34:28] PHP   2. Illuminate\Foundation\Application->run() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/public/index.php:49
[10-Mar-2014 11:34:28] PHP   3. Stack\StackedHttpKernel->handle() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:552
[10-Mar-2014 11:34:28] PHP   4. Illuminate\Cookie\Guard->handle() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/stack/builder/src/Stack/StackedHttpKernel.php:23
[10-Mar-2014 11:34:28] PHP   5. Illuminate\Cookie\Queue->handle() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Cookie/Guard.php:51
[10-Mar-2014 11:34:28] PHP   6. Illuminate\Session\Middleware->handle() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Cookie/Queue.php:47
[10-Mar-2014 11:34:28] PHP   7. Illuminate\Http\FrameGuard->handle() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Session/Middleware.php:58
[10-Mar-2014 11:34:28] PHP   8. Illuminate\Foundation\Application->handle() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Http/FrameGuard.php:38
[10-Mar-2014 11:34:28] PHP   9. Illuminate\Foundation\Application->dispatch() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:652
[10-Mar-2014 11:34:28] PHP  10. Illuminate\Routing\Router->dispatch() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:677
[10-Mar-2014 11:34:28] PHP  11. Illuminate\Routing\Router->dispatchToRoute() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/Router.php:938
[10-Mar-2014 11:34:28] PHP  12. Illuminate\Routing\Route->run() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/Router.php:968
[10-Mar-2014 11:34:28] PHP  13. call_user_func_array() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/Route.php:105
[10-Mar-2014 11:34:28] PHP  14. Illuminate\Routing\{closure}() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/Route.php:105
[10-Mar-2014 11:34:28] PHP  15. Illuminate\Routing\ControllerDispatcher->dispatch() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/Router.php:904
[10-Mar-2014 11:34:28] PHP  16. Illuminate\Routing\ControllerDispatcher->makeController() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:50
[10-Mar-2014 11:34:28] PHP  17. Illuminate\Foundation\Application->make() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:77
[10-Mar-2014 11:34:28] PHP  18. Illuminate\Container\Container->make() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:423
[10-Mar-2014 11:34:28] PHP  19. Illuminate\Container\Container->build() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Container/Container.php:416
[10-Mar-2014 11:34:28] PHP  20. ReflectionClass->__construct() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Container/Container.php:476
[10-Mar-2014 11:34:28] PHP  21. Composer\Autoload\ClassLoader->loadClass() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/vendor/laravel/framework/src/Illuminate/Container/Container.php:0
[10-Mar-2014 11:34:49] PHP Parse error:  syntax error, unexpected T_OBJECT_OPERATOR, expecting T_STRING or T_VARIABLE or '{' or '$' in /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/app/controllers/PaymentsController.php on line 189
[10-Mar-2014 11:34:49] PHP Stack trace:
[10-Mar-2014 11:34:49] PHP   1. {main}() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/public/index.php:0
[10-Mar-2014 11:34:49] PHP   2. Illuminate\Foundation\Application->run() /var/lib/stickshift/530d09514382ec67130004f1/app-root/data/781800/larpay/public/index.php:49
